City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,East London,ZA,-33.0153,27.9116,68.9,36,7,8.19,clear sky
252,Longyearbyen,SJ,78.2186,15.6401,51.64,66,75,17.27,broken clouds
253,Henties Bay,NA,-22.116,14.2845,58.26,83,0,1.95,clear sky
254,General Roca,AR,-39.0333,-67.5833,53.62,27,85,7.63,overcast clouds
255,La Ronge,CA,55.1001,-105.2842,74.86,39,27,8.55,scattered clouds
256,Vestmannaeyjar,IS,63.4427,-20.2734,52.2,87,100,18.14,overcast clouds
257,Constitucion,CL,-35.3333,-72.4167,53.2,83,87,10.11,overcast clouds
258,San Vicente,AR,-26.6167,-54.1333,55.81,98,100,0.98,heavy intensity rain
259,Aripuana,BR,-9.1667,-60.6333,91.22,30,0,1.97,clear sky
260,Grand Gaube,MU,-20.0064,57.6608,69.39,63,64,13.0,broken clouds
261,Pangnirtung,CA,66.1451,-65.7125,50.0,63,99,3.22,overcast clouds
262,Alta Gracia,AR,-31.6529,-64.4283,57.88,33,2,8.55,clear sky
263,Ayacucho,PE,-13.1583,-74.2239,60.04,61,99,5.3,overcast clouds
264,Vao,NC,-22.6667,167.4833,72.73,86,100,14.25,light rain
265,Clyde,US,41.3042,-82.9752,84.54,54,54,6.82,broken clouds
266,Thinadhoo,MV,0.5333,72.9333,82.47,74,98,12.8,overcast clouds
267,Beya,RU,53.0533,90.9139,52.59,76,85,7.56,overcast clouds
268,Iqaluit,CA,63.7506,-68.5145,41.7,81,71,13.0,broken clouds
269,Nsanje,MW,-16.92,35.262,65.52,90,8,1.99,clear sky
270,Pisco,PE,-13.7,-76.2167,65.01,72,0,8.05,clear sky
271,Sao Filipe,CV,14.8961,-24.4956,75.76,82,19,9.75,few clouds
272,Ixtapa,MX,20.7,-105.2,89.22,55,20,12.66,few clouds
273,Makaryev,RU,57.8797,43.8069,57.34,98,99,5.82,light rain
274,Tuapse,RU,44.1125,39.0742,68.54,49,2,13.69,clear sky
275,Ust-Kuyga,RU,70.0167,135.6,41.79,85,100,10.49,overcast clouds
276,Isangel,VU,-19.55,169.2667,77.41,85,71,9.53,broken clouds
277,Miguel Auza,MX,24.2933,-103.4503,84.2,21,50,10.36,scattered clouds
278,Hailar,CN,49.2,119.7,63.18,89,100,3.06,overcast clouds
279,Mana,GF,5.6592,-53.7767,80.6,83,38,8.93,scattered clouds
280,Wakefield,GB,53.6809,-1.499,84.63,40,32,3.18,scattered clouds
281,Belaya Gora,RU,68.5333,146.4167,53.56,48,100,12.3,overcast clouds
282,Saltillo,MX,25.4167,-101.0,86.47,32,0,13.8,clear sky
283,Orocue,CO,4.7912,-71.3354,79.12,85,89,0.51,overcast clouds
284,Ossora,RU,59.2353,163.0719,61.56,83,87,4.0,overcast clouds
285,Port Blair,IN,11.6667,92.75,81.18,83,98,6.85,overcast clouds
