City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Flinders,AU,2022-07-13 21:13:48,-34.5833,150.8552,53.19,71,74,11.99
139,Ponta Do Sol,PT,2022-07-13 21:13:49,32.6667,-17.1,72.01,76,10,4.25
140,Vilhena,BR,2022-07-13 21:10:31,-12.7406,-60.1458,82.42,35,56,2.64
141,Shubarkuduk,KZ,2022-07-13 21:13:49,49.1447,56.4872,82.35,30,5,9.95
142,Swan Hill,AU,2022-07-13 21:13:49,-35.3378,143.5544,37.72,90,1,6.78
143,Jaumave,MX,2022-07-13 21:13:50,23.4167,-99.3833,92.55,33,35,11.68
144,Lorengau,PG,2022-07-13 21:13:50,-2.0226,147.2712,81.03,82,100,6.96
145,Pisco,PE,2022-07-13 21:13:50,-13.7,-76.2167,66.25,68,0,19.57
146,Bethel,US,2022-07-13 21:10:33,41.3712,-73.414,90.52,49,0,4.61
147,Terrace,CA,2022-07-13 21:13:10,54.5163,-128.6035,53.04,98,100,2.89
148,Del Rio,US,2022-07-13 21:13:51,29.3627,-100.8968,104.11,25,20,6.91
149,Longonjo,AO,2022-07-13 21:13:51,-12.9067,15.2533,60.24,37,2,2.98
150,Namatanai,PG,2022-07-13 21:13:51,-3.6667,152.4333,79.54,84,100,7.58
151,Bemidji,US,2022-07-13 21:13:52,47.4736,-94.8803,79.05,57,75,4.61
152,Palimbang,PH,2022-07-13 21:13:52,6.2106,124.1894,76.44,89,60,4.41
153,Isangel,VU,2022-07-13 21:13:52,-19.55,169.2667,78.91,94,75,4.61
154,Kewanee,US,2022-07-13 21:11:09,41.2456,-89.9248,84.7,66,11,9.22
155,Half Moon Bay,US,2022-07-13 21:13:52,37.4636,-122.4286,86.92,68,0,18.41
156,Mangrol,IN,2022-07-13 21:13:53,21.1167,70.1167,80.8,88,100,16.8
157,Lasa,IT,2022-07-13 21:11:48,46.6166,10.7002,65.84,79,56,1.05
158,Karwar,IN,2022-07-13 21:13:53,14.8,74.1333,77.92,85,100,19.48
159,Carnarvon,AU,2022-07-13 21:13:53,-24.8667,113.6333,67.51,80,18,6.89
160,Katsuura,JP,2022-07-13 21:13:54,35.1333,140.3,74.8,92,100,7.94
161,Linxia,CN,2022-07-13 21:13:54,35.6003,103.2064,67.24,73,100,2.95
162,Hofn,IS,2022-07-13 21:13:54,64.2539,-15.2082,50.85,82,20,10.58
163,Tasiilaq,GL,2022-07-13 21:13:55,65.6145,-37.6368,46.56,81,21,3.8
164,San Policarpo,PH,2022-07-13 21:13:55,12.1791,125.5072,77.25,91,99,3.15
165,Laurel,US,2022-07-13 21:12:25,39.0993,-76.8483,93.52,51,0,6.91
166,Rio Gallegos,AR,2022-07-13 21:13:55,-51.6226,-69.2181,33.85,86,100,3.44
167,Verkhnyaya Inta,RU,2022-07-13 21:11:24,65.9811,60.3094,64.81,85,55,4.56
168,Oranjemund,NA,2022-07-13 21:11:00,-28.55,16.4333,52.99,89,0,7.85
169,Saint Anthony,US,2022-07-13 21:13:56,45.0205,-93.218,81.14,57,0,11.5
170,Cayenne,GF,2022-07-13 21:13:56,4.9333,-52.3333,82.44,78,0,5.75
171,Itacoatiara,BR,2022-07-13 21:13:56,-3.1431,-58.4442,83.17,67,95,2.19
172,Geraldton,AU,2022-07-13 21:13:56,-28.7667,114.6,57.61,94,4,10.36
173,Puerto Ayacucho,VE,2022-07-13 21:13:57,5.6639,-67.6236,81.48,83,90,0.81
174,Aras,ES,2022-07-13 21:13:57,42.5617,-2.356,77.41,34,0,3.44
175,Nantucket,US,2022-07-13 21:13:57,41.2835,-70.0995,82.54,72,0,6.91
176,Waldoboro,US,2022-07-13 21:13:58,44.0954,-69.3756,84.69,43,67,1.32
